startor,receptor,relation_type,fig_name,number,reftext,year,figtitle,papertitle,caption,figlink,pmcid,filename
EPC,AMD3100,activate_relation,PMC6681686__medscimonit-25-5572-g005.jpg,Figure 5,"Rongfeng Zhang, et al. Med Sci Monit. 2019;25:5572-5579.",2019.0,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells,Osteoprotegerin (OPG) Promotes Recruitment of Endothelial Progenitor Cells (EPCs) via CXCR4 Signaling Pathway to Improve Bone Defect Repair.,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells.,/pmc/articles/PMC6681686/figure/f5-medscimonit-25-5572/,PMC6681686,medscimonit-25-5572-g005.jpg
AMD3100,CXCR4,inhibit_relation,PMC6681686__medscimonit-25-5572-g005.jpg,Figure 5,"Rongfeng Zhang, et al. Med Sci Monit. 2019;25:5572-5579.",2019.0,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells,Osteoprotegerin (OPG) Promotes Recruitment of Endothelial Progenitor Cells (EPCs) via CXCR4 Signaling Pathway to Improve Bone Defect Repair.,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells.,/pmc/articles/PMC6681686/figure/f5-medscimonit-25-5572/,PMC6681686,medscimonit-25-5572-g005.jpg
GB,PI3K,activate_relation,PMC6681686__medscimonit-25-5572-g005.jpg,Figure 5,"Rongfeng Zhang, et al. Med Sci Monit. 2019;25:5572-5579.",2019.0,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells,Osteoprotegerin (OPG) Promotes Recruitment of Endothelial Progenitor Cells (EPCs) via CXCR4 Signaling Pathway to Improve Bone Defect Repair.,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells.,/pmc/articles/PMC6681686/figure/f5-medscimonit-25-5572/,PMC6681686,medscimonit-25-5572-g005.jpg
PI3K, AKT,activate_relation,PMC6681686__medscimonit-25-5572-g005.jpg,Figure 5,"Rongfeng Zhang, et al. Med Sci Monit. 2019;25:5572-5579.",2019.0,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells,Osteoprotegerin (OPG) Promotes Recruitment of Endothelial Progenitor Cells (EPCs) via CXCR4 Signaling Pathway to Improve Bone Defect Repair.,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells.,/pmc/articles/PMC6681686/figure/f5-medscimonit-25-5572/,PMC6681686,medscimonit-25-5572-g005.jpg
OPG,AMD3100,activate_relation,PMC6681686__medscimonit-25-5572-g005.jpg,Figure 5,"Rongfeng Zhang, et al. Med Sci Monit. 2019;25:5572-5579.",2019.0,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells,Osteoprotegerin (OPG) Promotes Recruitment of Endothelial Progenitor Cells (EPCs) via CXCR4 Signaling Pathway to Improve Bone Defect Repair.,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells.,/pmc/articles/PMC6681686/figure/f5-medscimonit-25-5572/,PMC6681686,medscimonit-25-5572-g005.jpg
LY294002,PI3K,inhibit_relation,PMC6681686__medscimonit-25-5572-g005.jpg,Figure 5,"Rongfeng Zhang, et al. Med Sci Monit. 2019;25:5572-5579.",2019.0,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells,Osteoprotegerin (OPG) Promotes Recruitment of Endothelial Progenitor Cells (EPCs) via CXCR4 Signaling Pathway to Improve Bone Defect Repair.,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells.,/pmc/articles/PMC6681686/figure/f5-medscimonit-25-5572/,PMC6681686,medscimonit-25-5572-g005.jpg
PI3K, AKT,activate_relation,PMC6681686__medscimonit-25-5572-g005.jpg,Figure 5,"Rongfeng Zhang, et al. Med Sci Monit. 2019;25:5572-5579.",2019.0,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells,Osteoprotegerin (OPG) Promotes Recruitment of Endothelial Progenitor Cells (EPCs) via CXCR4 Signaling Pathway to Improve Bone Defect Repair.,The signal pathway simulation of OPG regulating proliferation and migration of endothelial progenitor cells.,/pmc/articles/PMC6681686/figure/f5-medscimonit-25-5572/,PMC6681686,medscimonit-25-5572-g005.jpg
SNHG1,MIR-101-3P,inhibit_relation,PMC5392286__oncotarget-08-17785-g007.jpg,Figure 7,"Yun Cui, et al. Oncotarget. 2017 Mar 14;8(11):17785-17794.",2017.0,,Upregulated lncRNA SNHG1 contributes to progression of non-small cell lung cancer through inhibition of miR-101-3p and activation of Wnt/β-catenin signaling pathway.,. The cartoon of the mechanism underlying the SNHG1-miR-101-3p-SOX9 axis in NSCLC.,/pmc/articles/PMC5392286/figure/F7/,PMC5392286,oncotarget-08-17785-g007.jpg
MIR-101-3P,SOX9,inhibit_relation,PMC5392286__oncotarget-08-17785-g007.jpg,Figure 7,"Yun Cui, et al. Oncotarget. 2017 Mar 14;8(11):17785-17794.",2017.0,,Upregulated lncRNA SNHG1 contributes to progression of non-small cell lung cancer through inhibition of miR-101-3p and activation of Wnt/β-catenin signaling pathway.,. The cartoon of the mechanism underlying the SNHG1-miR-101-3p-SOX9 axis in NSCLC.,/pmc/articles/PMC5392286/figure/F7/,PMC5392286,oncotarget-08-17785-g007.jpg
SOX9,beta-catenin,activate_relation,PMC5392286__oncotarget-08-17785-g007.jpg,Figure 7,"Yun Cui, et al. Oncotarget. 2017 Mar 14;8(11):17785-17794.",2017.0,,Upregulated lncRNA SNHG1 contributes to progression of non-small cell lung cancer through inhibition of miR-101-3p and activation of Wnt/β-catenin signaling pathway.,. The cartoon of the mechanism underlying the SNHG1-miR-101-3p-SOX9 axis in NSCLC.,/pmc/articles/PMC5392286/figure/F7/,PMC5392286,oncotarget-08-17785-g007.jpg
