gene_name_1,gene_name_2,co_occurrence
Vascular endothelial growth factor,VEGF,1
p53,vascular endothelial growth factor,2
p53,cyclin D1,1
p53,VEGF,2
p53,PCNA,1
p53,Bcl2,1
fibronectin 1,epidermal growth factor receptor,1
fibronectin 1,proliferating cell nuclear antigen,1
fibronectin 1,FN1,2
fibronectin 1,kinase insert domain receptor,1
fibronectin 1,VEGFA,1
fibronectin 1,EGFR,1
fibronectin 1,TGFBI,1
fibronectin 1,PCNA,1
fibronectin 1,transforming growth factor beta,1
fibronectin 1,VEGFB,1
fibronectin 1,KDR,2
PIK3R1,CTNNB1,1
PIK3R1,VEGFA 1 122 IL6 -1 117 MAPK1,1
PIK3R1,EGFR,1
PIK3R1,PCNA,1
epidermal growth factor receptor,fibronectin 1,1
epidermal growth factor receptor,proliferating cell nuclear antigen,2
epidermal growth factor receptor,vascular endothelial growth factor,1
epidermal growth factor receptor,FN1,1
epidermal growth factor receptor,kinase insert domain receptor,1
epidermal growth factor receptor,VEGFA,2
epidermal growth factor receptor,VEGF,1
epidermal growth factor receptor,EGFR,3
epidermal growth factor receptor,TGFBI,1
epidermal growth factor receptor,PCNA,2
epidermal growth factor receptor,transforming growth factor beta,1
epidermal growth factor receptor,VEGFB,1
epidermal growth factor receptor,KDR,1
VEGFR,EGFR,3
proliferating cell nuclear antigen,fibronectin 1,1
proliferating cell nuclear antigen,epidermal growth factor receptor,2
proliferating cell nuclear antigen,FN1,1
proliferating cell nuclear antigen,kinase insert domain receptor,1
proliferating cell nuclear antigen,VEGFA,2
proliferating cell nuclear antigen,EGFR,2
proliferating cell nuclear antigen,TGFBI,1
proliferating cell nuclear antigen,PCNA,2
proliferating cell nuclear antigen,transforming growth factor beta,1
proliferating cell nuclear antigen,VEGFB,1
proliferating cell nuclear antigen,KDR,1
vascular endothelial growth factor,p53,2
vascular endothelial growth factor,epidermal growth factor receptor,1
vascular endothelial growth factor,VEGF,4
vascular endothelial growth factor,EGFR,1
vascular endothelial growth factor,Bcl2,1
TGF-beta,TGFBI,2
Transforming growth factor beta,VEGFA,1
Transforming growth factor beta,EGFR,1
Transforming growth factor beta,TGFBI,1
Transforming growth factor beta,PCNA,1
FN1,fibronectin 1,2
FN1,epidermal growth factor receptor,1
FN1,proliferating cell nuclear antigen,1
FN1,fibronectin,1
FN1,kinase insert domain receptor,1
FN1,VEGFA,3
FN1,VEGF,1
FN1,EGFR,4
FN1,TGFBI,5
FN1,PCNA,5
FN1,transforming growth factor beta,1
FN1,VEGFB,2
FN1,KDR,6
kinase insert domain receptor,fibronectin 1,1
kinase insert domain receptor,epidermal growth factor receptor,1
kinase insert domain receptor,proliferating cell nuclear antigen,1
kinase insert domain receptor,FN1,1
kinase insert domain receptor,VEGFA,1
kinase insert domain receptor,VEGF,1
kinase insert domain receptor,EGFR,1
kinase insert domain receptor,TGFBI,1
kinase insert domain receptor,PCNA,1
kinase insert domain receptor,transforming growth factor beta,1
kinase insert domain receptor,VEGFB,1
kinase insert domain receptor,KDR,2
CTNNB1,VEGFA 1 122 IL6 -1 117 MAPK1,1
CTNNB1,EGFR,1
CTNNB1,PCNA,1
cyclin D1,p53,1
cyclin D1,PCNA,1
bFGF,VEGF,1
VEGFA 1 122 IL6 -1 117 MAPK1,PIK3R1,1
VEGFA 1 122 IL6 -1 117 MAPK1,CTNNB1,1
VEGFA 1 122 IL6 -1 117 MAPK1,EGFR,1
VEGFA 1 122 IL6 -1 117 MAPK1,PCNA,1
VEGFA,fibronectin 1,1
VEGFA,epidermal growth factor receptor,2
VEGFA,proliferating cell nuclear antigen,2
VEGFA,Transforming growth factor beta,1
VEGFA,kinase insert domain receptor,1
VEGFA,VEGF,4
VEGFA,EGFR,6
VEGFA,TGFBI,4
VEGFA,PCNA,6
VEGFA,transforming growth factor beta,1
VEGFA,VEGFB,6
VEGFA,KDR,4
VEGF,Vascular endothelial growth factor,1
VEGF,epidermal growth factor receptor,1
VEGF,vascular endothelial growth factor,4
VEGF,kinase insert domain receptor,1
VEGF,EGFR,8
VEGF,TGFBI,1
VEGF,PCNA,1
VEGF,VEGFB,3
VEGF,KDR,4
VEGF,Bcl2,1
EGFR,fibronectin 1,1
EGFR,epidermal growth factor receptor,3
EGFR,proliferating cell nuclear antigen,2
EGFR,vascular endothelial growth factor,1
EGFR,Transforming growth factor beta,1
EGFR,kinase insert domain receptor,1
EGFR,VEGFA 1 122 IL6 -1 117 MAPK1,1
EGFR,TGFBI,5
EGFR,PCNA,7
EGFR,transforming growth factor beta,1
EGFR,VEGFB,3
EGFR,KDR,4
TGFBI,fibronectin 1,1
TGFBI,epidermal growth factor receptor,1
TGFBI,proliferating cell nuclear antigen,1
TGFBI,Transforming growth factor beta,1
TGFBI,kinase insert domain receptor,1
TGFBI,PCNA,6
TGFBI,transforming growth factor beta,1
TGFBI,VEGFB,2
TGFBI,KDR,5
PCNA,fibronectin 1,1
PCNA,epidermal growth factor receptor,2
PCNA,proliferating cell nuclear antigen,2
PCNA,Transforming growth factor beta,1
PCNA,kinase insert domain receptor,1
PCNA,cyclin D1,1
PCNA,VEGFA 1 122 IL6 -1 117 MAPK1,1
PCNA,transforming growth factor beta,1
PCNA,VEGFB,2
PCNA,KDR,5
transforming growth factor beta,fibronectin 1,1
transforming growth factor beta,epidermal growth factor receptor,1
transforming growth factor beta,proliferating cell nuclear antigen,1
transforming growth factor beta,FN1,1
transforming growth factor beta,kinase insert domain receptor,1
transforming growth factor beta,VEGFA,1
transforming growth factor beta,EGFR,1
transforming growth factor beta,TGFBI,1
transforming growth factor beta,PCNA,1
transforming growth factor beta,VEGFB,1
transforming growth factor beta,KDR,1
VEGFB,fibronectin 1,1
VEGFB,epidermal growth factor receptor,1
VEGFB,proliferating cell nuclear antigen,1
VEGFB,kinase insert domain receptor,1
VEGFB,transforming growth factor beta,1
VEGFB,KDR,2
KDR,fibronectin 1,2
KDR,epidermal growth factor receptor,1
KDR,proliferating cell nuclear antigen,1
KDR,kinase insert domain receptor,2
KDR,transforming growth factor beta,1
Bcl2,vascular endothelial growth factor,1
