gene_name_1,gene_name_2,co_occurrence
CLDN1,CLDN2,1
CLDN1,CLDN5,2
CLDN1,CLDN3,2
claudin-3,CLDN3,1
claudin-3,claudin-4,2
Cdc42,Rac1,1
Cdc42,RhoA,1
epidermal growth factor receptor,CLDN3,1
epidermal growth factor receptor,Claudin-3,1
ZO-1/ZO-2,CLDN3,1
CLDN2,CLDN5,1
CLDN2,CLDN3,1
ZO-1,CLDN3,2
ZO-1,ZO-2,2
CLDN5,CLDN3,2
SPHK1,sphingosine kinase 1,1
Sex determining region Y-Box 2,SOX2,1
CLDN3,epidermal growth factor receptor,1
CLDN3,beta-actin,1
CLDN3,GAPDH,1
CLDN3,glycogen synthase kinase-3beta,1
CLDN3,ZO-2,2
CLDN3,CLDN4,1
CLDN3,beta-catenin,3
CLDN3,cyclinD1,1
CLDN3,E-cadherin,21
CLDN3,Vimentin,14
CLDN3,c-Myc,1
Rac1,RhoA,1
beta-actin,E-cadherin,1
beta-actin,Vimentin,1
GAPDH,E-cadherin,1
GAPDH,Vimentin,1
Claudin-3,epidermal growth factor receptor,1
glycogen synthase kinase-3beta,CLDN3,1
glycogen synthase kinase-3beta,beta-catenin,1
glycogen synthase kinase-3beta,E-cadherin,1
SOX2,Sex determining region Y-Box 2,1
beta-catenin,glycogen synthase kinase-3beta,1
beta-catenin,cyclinD1,3
beta-catenin,E-cadherin,3
beta-catenin,Vimentin,1
beta-catenin,c-Myc,3
cyclinD1,c-Myc,3
sphingosine kinase 1,SPHK1,1
E-cadherin,glycogen synthase kinase-3beta,1
E-cadherin,Vimentin,16
