gene_name_1,gene_name_2,co_occurrence
tumor suppressor,Akt,1
tumor suppressor,MGMT,1
tumor suppressor,TSG,1
tumor suppressor,ERBB2,1
tumor suppressor,EGFR,1
tumor suppressor,SEMA3B,1
tumor suppressor,Her2,1
tumor suppressor,mTOR,1
tumor suppressor,VEGFR,1
tumor suppressor,Bcl 2,1
tumor suppressor,FUS1,1
tumor suppressor,PI3K,1
tumor suppressor,TIMP3,1
tumor suppressor,RAF,1
PDGFR,VEGFR 2,2
PDGFR,Tumor suppressor,1
PDGFR,KRAS,1
PDGFR,Akt,2
PDGFR,KIT,2
PDGFR,Flk 1,1
PDGFR,Flt 4,1
PDGFR,EGFR,2
PDGFR,PlGF,1
PDGFR,Flt 3,1
PDGFR,HKI,1
PDGFR,mTOR,2
PDGFR,VEGFR,2
PDGFR,HER2,2
PDGFR,FUS1,1
PDGFR,p53,1
PDGFR,PI3K,1
PDGFR,VEGFR 1,2
PDGFR,RAF,1
VEGFR 2,Tumor suppressor,1
VEGFR 2,KRAS,1
VEGFR 2,Akt,2
VEGFR 2,KIT,2
VEGFR 2,Flk 1,1
VEGFR 2,Flt 4,1
VEGFR 2,EGFR,2
VEGFR 2,PlGF,1
VEGFR 2,Flt 3,1
VEGFR 2,HKI,1
VEGFR 2,mTOR,2
VEGFR 2,VEGFR,2
VEGFR 2,HER2,2
VEGFR 2,FUS1,1
VEGFR 2,p53,1
VEGFR 2,PI3K,1
VEGFR 2,VEGFR 1,2
VEGFR 2,RAF,1
Tumor suppressor,Akt,1
Tumor suppressor,KIT,1
Tumor suppressor,EGFR,1
Tumor suppressor,HKI,1
Tumor suppressor,mTOR,1
Tumor suppressor,VEGFR,1
Tumor suppressor,HER2,1
Tumor suppressor,FUS1,1
Tumor suppressor,p53,1
Tumor suppressor,PI3K,1
Tumor suppressor,VEGFR 1,1
KRAS,Akt,1
KRAS,KIT,1
KRAS,Flk 1,1
KRAS,Flt 4,1
KRAS,EGFR,1
KRAS,PlGF,1
KRAS,Flt 3,1
KRAS,mTOR,1
KRAS,VEGFR,1
