gene_name_1,gene_name_2,co_occurrence
Mok,EML4,1
Mok,CD47,1
Mok,STAT3,1
Mok,PD L1,1
Mok,Fong,1
Mok,GAPDH,1
Mok,MYC,1
Mok,SP8,1
Mok,BET,1
Mok,BCATM,1
Mok,EGFR,1
Mok,NF kappaB,1
Mok,IL 6,1
Mok,PD 1,1
Mok,AKT,1
Mok,Interferon regulatory factor 1,1
Mok,ALK,1
Mok,LC3B,1
Mok,Lim,1
Mok,p65,1
Mok,PARP,1
Mok,signal transducer and activator of transcription 3,1
Mok,CSN5,1
EML4,CD47,1
EML4,STAT3,1
EML4,PD L1,1
EML4,Fong,1
EML4,GAPDH,1
EML4,MYC,1
EML4,SP8,1
EML4,BET,1
EML4,BCATM,1
EML4,EGFR,1
EML4,NF kappaB,1
EML4,IL 6,1
EML4,PD 1,1
EML4,AKT,1
EML4,Interferon regulatory factor 1,1
EML4,ALK,1
EML4,LC3B,1
EML4,Lim,1
EML4,p65,1
EML4,PARP,1
EML4,signal transducer and activator of transcription 3,1
EML4,CSN5,1
CD47,STAT3,1
CD47,PD L1,1
CD47,Fong,1
CD47,GAPDH,1
CD47,MYC,1
CD47,SP8,1
CD47,BET,1
CD47,BCATM,1
CD47,EGFR,1
CD47,NF kappaB,1
CD47,IL 6,1
CD47,PD 1,1
CD47,AKT,1
CD47,Interferon regulatory factor 1,1
CD47,ALK,1
CD47,LC3B,1
CD47,Lim,1
CD47,p65,1
CD47,PARP,1
CD47,signal transducer and activator of transcription 3,1
CD47,CSN5,1
STAT3,PD L1,1
STAT3,Fong,1
STAT3,GAPDH,1
STAT3,MYC,1
STAT3,SP8,1
STAT3,BET,1
STAT3,BCATM,1
STAT3,EGFR,1
STAT3,NF kappaB,1
STAT3,IL 6,1
STAT3,PD 1,1
STAT3,AKT,1
STAT3,Interferon regulatory factor 1,1
STAT3,ALK,1
STAT3,LC3B,1
STAT3,Lim,1
STAT3,p65,1
STAT3,PARP,1
STAT3,signal transducer and activator of transcription 3,1
STAT3,CSN5,1
PD L1,Fong,1
PD L1,GAPDH,1
PD L1,MYC,1
PD L1,SP8,1
PD L1,BET,1
PD L1,BCATM,1
PD L1,EGFR,2
PD L1,NF kappaB,1
PD L1,IL 6,1
PD L1,epidermal growth factor receptor,1
PD L1,PD 1,1
PD L1,AKT,1
PD L1,Interferon regulatory factor 1,1
PD L1,ALK,1
PD L1,LC3B,1
PD L1,Lim,1
PD L1,p65,1
PD L1,PARP,1
