gene_name_1,gene_name_2,co_occurrence
MAP3K7IP1,EXOC4,1
MAP3K7IP1,COL8A2,1
MAP3K7IP1,GP1BB,1
MAP3K7IP1,H2BFS,1
MAP3K7IP1,TJP2,1
MAP3K7IP1,LY6D,1
MAP3K7IP1,HIST1H2BD,1
MAP3K7IP1,TP53,1
MAP3K7IP1,CXCR4,1
MAP3K7IP1,COL7A1,1
MAP3K7IP1,CD34,1
MAP3K7IP1,SOX14,1
MAP3K7IP1,GNAI1,1
MAP3K7IP1,POU3F2,1
MAP3K7IP1,TEKT2,1
MAP3K7IP1,MAPK8IP1,1
MAP3K7IP1,Wnt,1
MAP3K7IP1,CDK5R1,1
MAP3K7IP1,SOX10,1
MAP3K7IP1,NCF2,1
MAP3K7IP1,LAMA4,1
MAP3K7IP1,RAB8A,1
MAP3K7IP1,CDH22,1
MAP3K7IP1,SLC7A7,1
MAP3K7IP1,SCN1A,1
MAP3K7IP1,CDH2,1
MAP3K7IP1,AQP3,1
MAP3K7IP1,EHHADH,1
MAP3K7IP1,HIST1H2BE,1
MAP3K7IP1,ITGA8,1
MAP3K7IP1,COL4A2,1
MAP3K7IP1,FGF8,1
MAP3K7IP1,COL4A1,1
MAP3K7IP1,SOX3,1
MAP3K7IP1,NLK,1
MAP3K7IP1,FGFR3,1
MAP3K7IP1,DRD1,1
MAP3K7IP1,JAK2,1
MAP3K7IP1,IGF1,1
MAP3K7IP1,IGFBP2,1
MAP3K7IP1,CYP11A1,1
MAP3K7IP1,CYP27B1,1
MAP3K7IP1,RAB23,1
MAP3K7IP1,IL32,1
MAP3K7IP1,CTNNB1,1
MAP3K7IP1,HIST1H2AC,1
MAP3K7IP1,PRDX2,1
MAP3K7IP1,COL2A1,1
MAP3K7IP1,CBP,1
MAP3K7IP1,DHRS7B,1
MAP3K7IP1,HIST1H2BF,1
MAP3K7IP1,NRP2,1
MAP3K7IP1,CSNK2A1,1
EXOC5,BCL10,1
EXOC5,DDAH1,1
EXOC5,RAP2A,1
EXOC5,SSR1,1
EXOC5,CHM,1
EXOC5,FDX1,1
EXOC5,IMPAD1,1
EXOC5,OSMR,1
EXOC4,COL8A2,1
EXOC4,GP1BB,1
EXOC4,H2BFS,1
EXOC4,TJP2,1
EXOC4,LY6D,1
EXOC4,HIST1H2BD,1
EXOC4,TP53,1
EXOC4,CXCR4,1
EXOC4,COL7A1,1
EXOC4,CD34,1
EXOC4,SOX14,1
EXOC4,GNAI1,1
EXOC4,POU3F2,1
EXOC4,TEKT2,1
EXOC4,MAPK8IP1,1
EXOC4,Wnt,1
EXOC4,CDK5R1,1
EXOC4,SOX10,1
EXOC4,NCF2,1
EXOC4,LAMA4,1
EXOC4,RAB8A,1
EXOC4,CDH22,1
EXOC4,SLC7A7,1
EXOC4,SCN1A,1
EXOC4,CDH2,1
EXOC4,AQP3,1
EXOC4,EHHADH,1
EXOC4,HIST1H2BE,1
EXOC4,ITGA8,1
EXOC4,COL4A2,1
EXOC4,FGF8,1
EXOC4,COL4A1,1
EXOC4,SOX3,1
EXOC4,NLK,1
EXOC4,FGFR3,1
EXOC4,DRD1,1
EXOC4,JAK2,1
EXOC4,IGF1,1
EXOC4,IGFBP2,1
EXOC4,CYP11A1,1
EXOC4,CYP27B1,1
EXOC4,RAB23,1
EXOC4,IL32,1
EXOC4,CTNNB1,1
EXOC4,HIST1H2AC,1
EXOC4,PRDX2,1
EXOC4,COL2A1,1
EXOC4,CBP,1
EXOC4,DHRS7B,1
