gene_name_1,gene_name_2,co_occurrence
Mok,K ras,1
Mok,KRAS,1
Mok,Ding,1
Mok,Eng,1
Mok,Epidermal growth factor receptor,1
Mok,ERBB3,1
Mok,Med 3,1
Mok,AMG,1
Mok,c Met,1
Mok,EGFR,2
Mok,epidermal growth factor receptor,1
Mok,HER2,2
Mok,Proc,2
Mok,PRS,1
EML4,KRAS,3
EML4,raf,1
EML4,Akt,1
EML4,BRAF,2
EML4,MAP2K1,1
EML4,Ding,1
EML4,HER2neu,1
EML4,TOR,1
EML4,mammalian target of rapamycin,1
EML4,Med 5,1
EML4,EGFR,3
EML4,AKT1,1
EML4,Med 24,1
EML4,epidermal growth factor receptor,1
EML4,AKT,2
EML4,mTOR,1
EML4,HER2,2
EML4,PIK3CA,1
EML4,ALK,3
EML4,Bean,1
EML4,Proc,1
EML4,Mark,1
K ras,KRAS,1
K ras,cyclin D1,1
K ras,Ding,1
K ras,Eng,1
K ras,Epidermal growth factor receptor,2
K ras,Med 3,1
K ras,AMG,1
K ras,c MET,1
K ras,EGFR,2
K ras,epidermal growth factor receptor,2
K ras,HGF,1
K ras,MAPK,1
K ras,AKT,1
K ras,HER2,1
K ras,ALK,1
K ras,aid,1
K ras,HGFR,1
K ras,Proc,1
K ras,PRS,1
K ras,STAT 3,1
KRAS,raf,1
KRAS,Akt,1
KRAS,PIK3CA mTOR inhibitor PI 103,1
KRAS,BRAF,5
KRAS,Erk,1
KRAS,VEGF,1
KRAS,MAP2K1,1
KRAS,Ding,2
KRAS,Eng,1
KRAS,B RAF,2
KRAS,Epidermal growth factor receptor,1
KRAS,HER2neu,1
KRAS,TOR,1
KRAS,ERBB2,1
KRAS,mammalian target of rapamycin,1
KRAS,Med 5,1
KRAS,Med 3,1
KRAS,vascular endothelial growth factor,1
KRAS,MEK,2
KRAS,EGFR,8
KRAS,Raf,1
KRAS,AKT1,3
KRAS,Med 24,1
KRAS,epidermal growth factor receptor,2
KRAS,MAPK,1
KRAS,AKT,5
KRAS,mTOR,4
KRAS,HER2,7
KRAS,PIK3CA,3
KRAS,ALK,5
KRAS,aid,1
KRAS,RAF1,1
KRAS,Bean,1
KRAS,MAPK3,1
KRAS,HGFR,1
KRAS,Proc,2
KRAS,PI3K,3
