gene_name_1,gene_name_2,co_occurrence
p110alpha,PI3K,1
p110alpha,p110delta,1
PDGFR,p87,1
PDGFR,mTOR,1
PDGFR,Bcl 2,1
PDGFR,HER2,1
PDGFR,p100,1
PDGFR,PI3K,1
PDGFR,p110,1
PDGFR,p110b,1
PDGFR,PIK3CG,1
PDGFR,EGFR,2
PDGFR,VEGFR,2
PDGFR,PIK3CA,1
PDGFR,p101,1
PDGFR,p110d,1
PDGFR,Tel,1
PDGFR,AKT,1
PDGFR,mTORC1,1
PDGFR,PIK3CB,1
PDGFR,p85,1
PDGFR,PIK3CD,1
PDGFR,p85b,1
PDGFR,p110a,1
PDGFR,mTORC2,1
PDGFR,p53,1
small G protein,ERK,1
small G protein,PHLPP2,1
small G protein,ERK 1,1
small G protein,mTOR,1
small G protein,AKT2,1
small G protein,PI3K,1
small G protein,PRAS40,1
small G protein,PHLPP1,1
small G protein,FOXO,1
small G protein,IRS 1,1
small G protein,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
small G protein,RSK 1,1
small G protein,PDK1,1
small G protein,eIF4E,1
small G protein,AMPK,1
small G protein,TSC2,1
small G protein,4EBP1,1
small G protein,AKT,1
small G protein,Deptor,1
small G protein,mTORC1,1
small G protein,PTEN,1
small G protein,TSC1,1
small G protein,AKT1,1
small G protein,mTORC2,1
small G protein,mLST8,1
small G protein,S6K1,1
small G protein,AKT3,1
p87,HER2,1
p87,p110,1
p87,p110b,1
p87,PIK3CG,1
p87,EGFR,1
p87,VEGFR,1
p87,PIK3CA,1
p87,p101,1
p87,p110d,1
p87,Tel,1
p87,PIK3CB,1
p87,p85,1
p87,PIK3CD,1
p87,p85b,1
p87,p110a,1
STAT3,MEK,1
STAT3,ATR,1
STAT3,mTOR,1
STAT3,PI3K,1
STAT3,FOXO1,1
STAT3,p110,1
STAT3,Mcl 1,1
STAT3,Hsp90,1
STAT3,IRS 1,1
STAT3,EGFR,1
STAT3,KRAS,1
STAT3,MTD,1
STAT3,Torin,1
STAT3,Bim,1
STAT3,4EBP1,1
STAT3,AKT,1
STAT3,mTORC1,1
STAT3,Grb10,1
STAT3,CHOP,1
STAT3,mTORC2,1
TORC2,TFEB,1
TORC2,mTOR,1
TORC2,mLST8 Sin1 PRR5 Protor 1,1
TORC2,PI3K,1
TORC2,ATG14,1
TORC2,Rac1,1
TORC2,IRS 1,1
TORC2,ATG13,1
TORC2,PIK3CA,1
TORC2,KRAS,1
TORC2,Beclin 1,1
TORC2,AMPK,1
TORC2,AKT,1
TORC2,Deptor,1
TORC2,mTORC1,1
TORC2,PTEN,1
TORC2,ADK,1
TORC2,p85,1
TORC2,mTORC2,1
TORC2,S6K1,1
TORC2,ULK1,1
TORC2,Cdc42,1
TFEB,mTOR,1
TFEB,mLST8 Sin1 PRR5 Protor 1,1
TFEB,PI3K,1
TFEB,ATG14,1
TFEB,Rac1,1
TFEB,IRS 1,1
TFEB,ATG13,1
TFEB,PIK3CA,1
TFEB,KRAS,1
TFEB,Beclin 1,1
TFEB,AMPK,1
TFEB,AKT,1
TFEB,Deptor,1
TFEB,mTORC1,1
TFEB,PTEN,1
TFEB,ADK,1
TFEB,p85,1
TFEB,mTORC2,1
TFEB,S6K1,1
TFEB,ULK1,1
TFEB,Cdc42,1
ERK,PHLPP2,1
ERK,ERK 1,1
ERK,mTOR,1
ERK,AKT2,1
ERK,PI3K,1
ERK,PRAS40,1
ERK,PHLPP1,1
ERK,FOXO,1
ERK,IRS 1,1
ERK,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
ERK,RSK 1,1
ERK,PDK1,1
ERK,eIF4E,1
ERK,AMPK,1
ERK,TSC2,1
ERK,4EBP1,1
ERK,AKT,1
ERK,Deptor,1
ERK,mTORC1,1
ERK,PTEN,1
ERK,TSC1,1
ERK,AKT1,1
ERK,mTORC2,1
ERK,mLST8,1
ERK,S6K1,1
ERK,AKT3,1
PHLPP2,ERK 1,1
PHLPP2,mTOR,1
PHLPP2,AKT2,1
PHLPP2,PI3K,1
PHLPP2,PRAS40,1
PHLPP2,PHLPP1,1
PHLPP2,FOXO,1
PHLPP2,IRS 1,1
PHLPP2,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
PHLPP2,RSK 1,1
PHLPP2,PDK1,1
PHLPP2,eIF4E,1
PHLPP2,AMPK,1
PHLPP2,TSC2,1
PHLPP2,4EBP1,1
PHLPP2,AKT,1
PHLPP2,Deptor,1
PHLPP2,mTORC1,1
PHLPP2,PTEN,1
PHLPP2,TSC1,1
PHLPP2,AKT1,1
PHLPP2,mTORC2,1
PHLPP2,mLST8,1
PHLPP2,S6K1,1
PHLPP2,AKT3,1
ERK 1,mTOR,1
ERK 1,AKT2,1
ERK 1,PI3K,1
ERK 1,PRAS40,1
ERK 1,PHLPP1,1
ERK 1,FOXO,1
ERK 1,IRS 1,1
ERK 1,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
ERK 1,RSK 1,1
ERK 1,PDK1,1
ERK 1,eIF4E,1
ERK 1,AMPK,1
ERK 1,TSC2,1
ERK 1,4EBP1,1
ERK 1,AKT,1
ERK 1,Deptor,1
ERK 1,mTORC1,1
ERK 1,PTEN,1
ERK 1,TSC1,1
ERK 1,AKT1,1
ERK 1,mTORC2,1
ERK 1,mLST8,1
ERK 1,S6K1,1
ERK 1,AKT3,1
MEK,ATR,2
MEK,mTOR,4
MEK,AKT2,1
MEK,PI3K,4
MEK,FOXO1,1
MEK,PI3Ka,1
MEK,p110,1
MEK,p110b,1
MEK,Akt,1
MEK,Mcl 1,2
MEK,Hsp90,1
MEK,IRS 1,1
MEK,EGFR,2
MEK,PIK3CA,2
MEK,caspase 3,1
MEK,KRAS,2
MEK,PDK1,1
MEK,BRAF,1
MEK,MTD,3
MEK,p70S6K and 4EBP1,1
MEK,Torin,1
MEK,Bim,2
MEK,4EBP1,2
MEK,AKT,4
MEK,mTORC1,2
MEK,PTEN,1
MEK,PARP,1
MEK,ADK,1
MEK,cin,1
MEK,JNK,1
MEK,Grb10,1
MEK,CHOP,1
MEK,p110a,1
MEK,AKT1,1
MEK,mTORC2,1
MEK,TRAIL,2
MEK,SGK3,1
eIF4e and 4EBP1,mTOR,1
eIF4e and 4EBP1,PI3K,1
eIF4e and 4EBP1,EGFR,1
eIF4e and 4EBP1,AKT,1
eIF4e and 4EBP1,HER 2,1
ATR,mTOR,3
ATR,AKT2,1
ATR,PI3K,2
ATR,FOXO1,1
ATR,PI3Ka,1
ATR,p110,1
ATR,p110b,1
ATR,Akt,1
ATR,Mcl 1,1
ATR,Hsp90,1
ATR,IRS 1,1
ATR,EGFR,2
ATR,PIK3CA,1
ATR,caspase 3,1
ATR,KRAS,1
ATR,PDK1,1
ATR,BRAF,1
ATR,MTD,2
ATR,p70S6K and 4EBP1,1
ATR,Torin,1
ATR,Bim,2
ATR,4EBP1,1
ATR,AKT,2
ATR,mTORC1,1
ATR,PTEN,1
ATR,PARP,1
ATR,cin,1
ATR,JNK,1
ATR,Grb10,1
ATR,CHOP,1
ATR,p110a,1
ATR,AKT1,1
ATR,mTORC2,1
ATR,TRAIL,1
ATR,SGK3,1
TP53,EGFR,1
TP53,KRAS,1
TP53,PTEN,1
mTOR,Bcl 2,1
mTOR,HER2,1
mTOR,PIK3,1
mTOR,p100,1
mTOR,mLST8 Sin1 PRR5 Protor 1,1
mTOR,Lim,1
mTOR,AKT2,3
mTOR,DDR2,1
mTOR,PI3K,15
mTOR,FOXO1,1
mTOR,ATG14,1
mTOR,PRAS40,1
mTOR,PI3Ka,1
mTOR,Rac1,1
mTOR,PHLPP1,1
mTOR,p110,1
mTOR,p110b,2
mTOR,FOXO,1
mTOR,Akt,3
mTOR,Mcl 1,1
mTOR,Hsp90,1
mTOR,p21,2
mTOR,IRS 1,3
mTOR,EGFR,11
mTOR,ATG13,1
mTOR,VEGFR,1
mTOR,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
mTOR,ALK,2
mTOR,PIK3CA,4
mTOR,RSK 1,1
mTOR,caspase 3,1
mTOR,ROS1,1
mTOR,KRAS,4
mTOR,Beclin 1,1
mTOR,p110d,1
mTOR,PDK1,2
mTOR,BRAF,2
mTOR,MTD,3
mTOR,eIF4E,1
mTOR,AMPK,2
mTOR,FGFR1,1
mTOR,p70S6K and 4EBP1,1
mTOR,mammalian target of rapamycin,2
mTOR,TSC2,1
mTOR,RET,1
mTOR,Torin,1
mTOR,Bim,2
mTOR,epidermal growth factor receptor,2
mTOR,4EBP1,2
mTOR,AKT,10
mTOR,Deptor,2
mTOR,mTORC1,7
mTOR,Stat3,1
mTOR,PTEN,6
mTOR,HER 2,1
mTOR,PARP,1
mTOR,ADK,4
mTOR,EML4,1
mTOR,cin,1
mTOR,cyclin D1,1
mTOR,PIK3CB,1
mTOR,JNK,1
mTOR,Grb10,1
mTOR,p85,1
mTOR,PIK3CD,1
mTOR,CHOP,1
mTOR,TSC1,2
mTOR,p110a,1
mTOR,AKT1,3
mTOR,mTORC2,5
mTOR,p27KIP1,1
mTOR,TRAIL,1
mTOR,p53,2
mTOR,mLST8,1
mTOR,S6K1,2
mTOR,ULK1,1
mTOR,AKT3,1
mTOR,Cdc42,1
mTOR,SGK3,1
Bcl 2,p100,1
Bcl 2,PI3K,1
Bcl 2,EGFR,1
Bcl 2,VEGFR,1
Bcl 2,mammalian target of rapamycin,1
Bcl 2,AKT,1
Bcl 2,mTORC1,1
Bcl 2,mTORC2,1
Bcl 2,p53,1
HER2,PIK3,1
HER2,DDR2,1
HER2,PI3K,2
HER2,p110,1
HER2,p110b,1
HER2,PIK3CG,1
HER2,EGFR,3
HER2,VEGFR,1
HER2,ALK,1
HER2,PIK3CA,1
HER2,p101,1
HER2,ROS1,1
HER2,KRAS,1
HER2,p110d,1
HER2,BRAF,1
HER2,MTD,1
HER2,FGFR1,1
HER2,mammalian target of rapamycin,1
HER2,Tel,1
HER2,RET,1
HER2,epidermal growth factor receptor,1
HER2,AKT,1
HER2,EML4,1
HER2,PIK3CB,1
HER2,p85,1
HER2,PIK3CD,1
HER2,p85b,1
HER2,p110a,1
PIK3,DDR2,1
PIK3,PI3K,1
PIK3,EGFR,1
PIK3,ALK,1
PIK3,ROS1,1
PIK3,KRAS,1
PIK3,BRAF,1
PIK3,MTD,1
PIK3,FGFR1,1
PIK3,mammalian target of rapamycin,1
PIK3,RET,1
PIK3,epidermal growth factor receptor,1
PIK3,AKT,1
PIK3,EML4,1
p100,PI3K,1
p100,EGFR,1
p100,VEGFR,1
p100,AKT,1
p100,mTORC1,1
p100,mTORC2,1
p100,p53,1
mLST8 Sin1 PRR5 Protor 1,PI3K,1
mLST8 Sin1 PRR5 Protor 1,ATG14,1
mLST8 Sin1 PRR5 Protor 1,Rac1,1
mLST8 Sin1 PRR5 Protor 1,IRS 1,1
mLST8 Sin1 PRR5 Protor 1,ATG13,1
mLST8 Sin1 PRR5 Protor 1,PIK3CA,1
mLST8 Sin1 PRR5 Protor 1,KRAS,1
mLST8 Sin1 PRR5 Protor 1,Beclin 1,1
mLST8 Sin1 PRR5 Protor 1,AMPK,1
mLST8 Sin1 PRR5 Protor 1,AKT,1
mLST8 Sin1 PRR5 Protor 1,Deptor,1
mLST8 Sin1 PRR5 Protor 1,mTORC1,1
mLST8 Sin1 PRR5 Protor 1,PTEN,1
mLST8 Sin1 PRR5 Protor 1,ADK,1
mLST8 Sin1 PRR5 Protor 1,p85,1
mLST8 Sin1 PRR5 Protor 1,mTORC2,1
mLST8 Sin1 PRR5 Protor 1,S6K1,1
mLST8 Sin1 PRR5 Protor 1,ULK1,1
mLST8 Sin1 PRR5 Protor 1,Cdc42,1
Lim,PI3K,1
Lim,EGFR,2
Lim,PTEN,1
AKT2,PI3K,3
AKT2,PRAS40,1
AKT2,PI3Ka,1
AKT2,PHLPP1,1
AKT2,p110b,2
AKT2,FOXO,1
AKT2,Akt,1
AKT2,IRS 1,1
AKT2,EGFR,2
AKT2,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
AKT2,ALK,1
AKT2,PIK3CA,2
AKT2,RSK 1,1
AKT2,caspase 3,1
AKT2,KRAS,1
AKT2,p110d,1
AKT2,PDK1,2
AKT2,BRAF,1
AKT2,MTD,1
AKT2,eIF4E,1
AKT2,AMPK,1
AKT2,p70S6K and 4EBP1,1
AKT2,TSC2,1
AKT2,Bim,1
AKT2,4EBP1,1
AKT2,AKT,3
AKT2,Deptor,1
AKT2,mTORC1,2
AKT2,PTEN,3
AKT2,PARP,1
AKT2,ADK,1
AKT2,cin,1
AKT2,PIK3CB,1
AKT2,JNK,1
AKT2,PIK3CD,1
AKT2,TSC1,1
AKT2,p110a,1
AKT2,AKT1,3
AKT2,mTORC2,1
AKT2,TRAIL,1
AKT2,mLST8,1
AKT2,S6K1,1
AKT2,AKT3,1
AKT2,SGK3,1
DDR2,PI3K,1
DDR2,EGFR,1
DDR2,ALK,1
DDR2,ROS1,1
DDR2,KRAS,1
DDR2,BRAF,1
DDR2,MTD,1
DDR2,FGFR1,1
DDR2,mammalian target of rapamycin,1
DDR2,RET,1
DDR2,epidermal growth factor receptor,1
DDR2,AKT,1
DDR2,EML4,1
PI3K,FOXO1,1
PI3K,ATG14,1
PI3K,PRAS40,1
PI3K,PI3Ka,1
PI3K,Rac1,1
PI3K,PHLPP1,1
PI3K,p110,2
PI3K,p110b,3
PI3K,FOXO,1
PI3K,Akt,3
PI3K,Mcl 1,2
PI3K,Hsp90,1
PI3K,p21,1
PI3K,IRS 1,3
PI3K,EGFR,12
PI3K,ATG13,1
PI3K,VEGFR,1
PI3K,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
PI3K,ALK,2
PI3K,PIK3CA,7
PI3K,RSK 1,1
PI3K,caspase 3,1
PI3K,ROS1,1
PI3K,KRAS,6
PI3K,Beclin 1,1
PI3K,p110d,2
PI3K,PDK1,2
PI3K,BRAF,2
PI3K,MTD,5
PI3K,eIF4E,1
PI3K,AMPK,2
PI3K,FGFR1,1
PI3K,p70S6K and 4EBP1,1
PI3K,mammalian target of rapamycin,1
PI3K,TSC2,1
PI3K,RET,1
PI3K,Torin,1
PI3K,Bim,2
PI3K,epidermal growth factor receptor,1
PI3K,4EBP1,3
PI3K,AKT,11
PI3K,Deptor,2
PI3K,mTORC1,8
PI3K,Stat3,1
PI3K,PTEN,5
PI3K,HER 2,1
PI3K,PARP,1
PI3K,ADK,5
PI3K,EML4,1
PI3K,cin,1
PI3K,cyclin D1,1
PI3K,PIK3CB,1
PI3K,JNK,1
PI3K,Grb10,1
PI3K,p85,1
PI3K,p110delta,1
PI3K,PIK3CD,1
PI3K,CHOP,1
PI3K,TSC1,2
PI3K,p110a,2
PI3K,AKT1,3
PI3K,INPP4B,1
PI3K,mTORC2,5
PI3K,p27KIP1,1
PI3K,TRAIL,2
PI3K,p53,2
PI3K,mLST8,1
PI3K,S6K1,2
PI3K,ULK1,1
PI3K,AKT3,1
PI3K,Cdc42,1
PI3K,SGK3,1
FOXO1,p110,1
FOXO1,Mcl 1,1
FOXO1,Hsp90,1
FOXO1,IRS 1,1
FOXO1,EGFR,1
FOXO1,KRAS,1
FOXO1,MTD,1
FOXO1,Torin,1
FOXO1,Bim,1
FOXO1,4EBP1,1
FOXO1,AKT,1
FOXO1,mTORC1,1
FOXO1,Grb10,1
FOXO1,CHOP,1
FOXO1,mTORC2,1
ATG14,Rac1,1
ATG14,IRS 1,1
ATG14,ATG13,1
ATG14,PIK3CA,1
ATG14,KRAS,1
ATG14,Beclin 1,1
ATG14,AMPK,1
ATG14,AKT,1
ATG14,Deptor,1
ATG14,mTORC1,1
ATG14,PTEN,1
ATG14,ADK,1
ATG14,p85,1
ATG14,mTORC2,1
ATG14,S6K1,1
ATG14,ULK1,1
ATG14,Cdc42,1
PRAS40,PHLPP1,1
PRAS40,FOXO,1
PRAS40,IRS 1,1
PRAS40,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
PRAS40,RSK 1,1
PRAS40,PDK1,1
PRAS40,eIF4E,1
PRAS40,AMPK,1
PRAS40,TSC2,1
PRAS40,4EBP1,1
PRAS40,AKT,1
PRAS40,Deptor,1
PRAS40,mTORC1,1
PRAS40,PTEN,1
PRAS40,TSC1,1
PRAS40,AKT1,1
PRAS40,mTORC2,1
PRAS40,mLST8,1
PRAS40,S6K1,1
PRAS40,AKT3,1
PI3Ka,p110b,1
PI3Ka,Akt,1
PI3Ka,EGFR,1
PI3Ka,PIK3CA,1
PI3Ka,caspase 3,1
PI3Ka,PDK1,1
PI3Ka,BRAF,1
PI3Ka,MTD,1
PI3Ka,p70S6K and 4EBP1,1
PI3Ka,Bim,1
PI3Ka,AKT,1
PI3Ka,PTEN,1
PI3Ka,PARP,1
PI3Ka,cin,1
PI3Ka,JNK,1
PI3Ka,p110a,1
PI3Ka,AKT1,1
PI3Ka,TRAIL,1
PI3Ka,SGK3,1
Rac1,IRS 1,1
Rac1,ATG13,1
Rac1,PIK3CA,1
Rac1,KRAS,1
Rac1,Beclin 1,1
Rac1,AMPK,1
Rac1,AKT,1
Rac1,Deptor,1
Rac1,mTORC1,1
Rac1,PTEN,1
Rac1,ADK,1
Rac1,p85,1
Rac1,mTORC2,1
Rac1,S6K1,1
Rac1,ULK1,1
Rac1,Cdc42,1
PHLPP1,FOXO,1
PHLPP1,IRS 1,1
PHLPP1,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
PHLPP1,RSK 1,1
PHLPP1,PDK1,1
PHLPP1,eIF4E,1
PHLPP1,AMPK,1
PHLPP1,TSC2,1
PHLPP1,4EBP1,1
PHLPP1,AKT,1
PHLPP1,Deptor,1
PHLPP1,mTORC1,1
PHLPP1,PTEN,1
PHLPP1,TSC1,1
PHLPP1,AKT1,1
PHLPP1,mTORC2,1
PHLPP1,mLST8,1
PHLPP1,S6K1,1
PHLPP1,AKT3,1
p110,p110b,2
p110,Mcl 1,1
p110,PIK3CG,1
p110,Hsp90,1
p110,IRS 1,1
p110,EGFR,2
p110,VEGFR,1
p110,PIK3CA,2
p110,p101,1
p110,KRAS,1
p110,p110d,2
p110,MTD,2
p110,Tel,1
p110,Torin,1
p110,Bim,1
p110,4EBP1,1
p110,AKT,1
p110,mTORC1,1
p110,PIK3CB,1
p110,Grb10,1
p110,p85,1
p110,PIK3CD,1
p110,CHOP,1
p110,p85b,1
p110,p110a,2
p110,mTORC2,1
p110b,Akt,1
p110b,PIK3CG,1
p110b,EGFR,3
p110b,VEGFR,1
p110b,ALK,1
p110b,PIK3CA,4
p110b,p101,1
p110b,caspase 3,1
p110b,KRAS,1
p110b,p110d,3
p110b,PDK1,1
p110b,BRAF,1
p110b,MTD,2
p110b,p70S6K and 4EBP1,1
p110b,Tel,1
p110b,Bim,1
p110b,AKT,2
p110b,mTORC1,1
p110b,PTEN,2
p110b,PARP,1
p110b,ADK,1
p110b,cin,1
p110b,PIK3CB,2
p110b,JNK,1
p110b,p85,1
p110b,PIK3CD,2
p110b,p85b,1
p110b,p110a,3
p110b,AKT1,2
p110b,TRAIL,1
p110b,SGK3,1
FOXO,IRS 1,1
FOXO,eukaryotic initiation factor 4E eIF4E binding protein 1 4E BP1,1
FOXO,RSK 1,1
FOXO,PDK1,1
FOXO,eIF4E,1
FOXO,AMPK,1
FOXO,TSC2,1
FOXO,4EBP1,1
FOXO,AKT,1
FOXO,Deptor,1
FOXO,mTORC1,1
