gene_name_1,gene_name_2,co_occurrence
HO 1,C EBP,1
HO 1,EP4,1
HO 1,ERK,2
HO 1,Bcl 2,1
HO 1,PCNA,1
HO 1,E cadherin,1
HO 1,CREB,2
HO 1,contactin 1,1
HO 1,nAChR,1
HO 1,Bcl XL,1
HO 1,p27,1
HO 1,COX2,1
HO 1,EP2,1
HO 1,VEGF C,1
HO 1,COX,1
HO 1,TxAS,1
HO 1,GSK3,2
HO 1,Flt 4,1
HO 1,Src,2
HO 1,AKT,2
HO 1,hnRNP U,2
HO 1,RhoA,1
HO 1,IAP2,1
HO 1,PKC,1
HO 1,DNMT1,2
HO 1,Bad,1
c Jun,IGF I,1
c Jun,mTOR,1
c Jun,COX2,1
STAT3,FAK,2
STAT3,RAR beta,1
STAT3,ERK,1
STAT3,cyclooxygenase 2,1
STAT3,ALDH1A1,1
STAT3,CREB,2
STAT3,nAChR,1
STAT3,Bcl XL,1
STAT3,p21,1
STAT3,CD62L,1
STAT3,EGFR,1
STAT3,Mok,1
STAT3,RAR,1
STAT3,tumor necrosis factor alpha,1
STAT3,Src,2
STAT3,NF kappa B,1
STAT3,PTEN,1
STAT3,RhoA,1
STAT3,bad,1
STAT3,PKC,2
STAT3,SIRT1,1
STAT3,Bad,1
Tob,P450,1
Tob,EP4,1
Tob,mTOR,1
Tob,NFkappaB,1
Tob,Akt,1
Tob,CYP2A6,1
Tob,EP2,1
Tob,CYP2A13,1
Tob,COX,1
Tob,RAR,1
Tob,Nat,1
Tob,AKT,1
Tob,Rev,1
Tob,cyclin D1,1
Tob,JNK,1
Tob,RhoA,1
Tob,SIRT1,1
Tob,p53,1
DNMT3B,ase 1,1
DNMT3B,Proc,1
DNMT3B,cyclooxygenase 2,1
DNMT3B,Meng,1
DNMT3B,p27,1
DNMT3B,a beta,1
DNMT3B,vascular endothelial growth factor,1
DNMT3B,Thromboxane A2 receptor,1
DNMT3B,Mok,1
DNMT3B,Dnmt1,1
DNMT3B,thromboxane synthase,1
DNMT3B,beta catenin,1
DNMT3B,Thromboxane synthase,1
DNMT3B,Rev,1
DNMT3B,VEGF,1
DNMT3B,CXCL12,1
DNMT3B,Siva1,1
DNMT3B,p16INK4a,1
DNMT3B,DNMT1,1
DNMT3B,p53,1
ALDH,IL 6,1
ALDH,mTOR,1
ALDH,AKT,1
ALDH,RhoA,1
FAK,RAR beta,1
FAK,ERK,1
FAK,cyclooxygenase 2,1
FAK,ALDH1A1,1
FAK,CREB,2
FAK,nAChR,1
FAK,Bcl XL,1
FAK,p21,1
FAK,CD62L,1
FAK,EGFR,1
FAK,Mok,1
FAK,RAR,1
