gene_name_1,gene_name_2,co_occurrence
ERBB4,ROS1,2
ERBB4,KRAS,1
ERBB4,BRAF,2
ERBB4,BCL2,1
ERBB4,erbB,1
ERBB4,ErbB4,1
ERBB4,ERBB2,2
ERBB4,Cyclin D1,1
ERBB4,ERBB3,2
ERBB4,ErbB2,1
ERBB4,RET,1
ERBB4,FGFR 1,1
ERBB4,HER3,2
ERBB4,MEK,2
ERBB4,EGFR,2
ERBB4,ErbB 4,1
ERBB4,AKT1,1
ERBB4,ALK1,1
ERBB4,ErbB,1
ERBB4,epidermal growth factor receptor,1
ERBB4,AKT,2
ERBB4,mTOR,2
ERBB4,HER2,2
ERBB4,PIK3CA,1
ERBB4,ALK,1
ERBB4,ERBB,1
ERBB4,PIK3,1
ERBB4,PTEN,1
ERBB4,MEK1,1
ERBB4,DDR2,1
ERBB4,PI3K,2
ERBB4,NRAS,1
ERBB4,RAF,2
ROS1,Qin,1
ROS1,KRAS,3
ROS1,Akt,1
ROS1,BRAF,3
ROS1,MAP2K1,1
ROS1,BCL2,1
ROS1,erbB,2
ROS1,Ding,1
ROS1,ErbB4,1
ROS1,He B,1
ROS1,akt,1
ROS1,ERBB2,3
ROS1,Cyclin D1,1
ROS1,ERBB3,2
ROS1,MEK2,1
ROS1,ErbB2,1
ROS1,RET,1
ROS1,FGFR 1,1
ROS1,HER3,2
ROS1,MEK,4
ROS1,EGFR,4
ROS1,ErbB 4,1
ROS1,Ost,1
ROS1,AKT1,2
ROS1,ALK1,1
ROS1,ErbB,2
ROS1,Smit,2
ROS1,epidermal growth factor receptor,2
ROS1,AKT,4
ROS1,mTOR,4
ROS1,HER2,4
ROS1,PIK3CA,2
ROS1,ALK,3
ROS1,ERBB,1
ROS1,PIK3,1
ROS1,PTEN,1
ROS1,MEK1,2
ROS1,AKT2,1
ROS1,DDR2,1
ROS1,PI3K,4
ROS1,NRAS,2
ROS1,RAF,3
Qin,KRAS,1
Qin,Akt,1
Qin,BRAF,1
Qin,erbB,1
Qin,Ding,1
Qin,He B,1
Qin,akt,1
Qin,EGFR,1
Qin,Ost,1
Qin,AKT1,1
Qin,Smit,1
Qin,epidermal growth factor receptor,1
Qin,AKT,1
Qin,mTOR,1
Qin,ALK,1
Qin,AKT2,1
Qin,PI3K,1
KRAS,EML 4,1
KRAS,CTLA4,1
KRAS,Akt,1
KRAS,BRAF,5
KRAS,MAP2K1,2
KRAS,BCL2,1
KRAS,erbB,2
KRAS,interleukin 2,1
KRAS,Ding,1
KRAS,ErbB4,1
KRAS,He B,1
KRAS,akt,1
KRAS,KIF5B,1
KRAS,ERBB2,2
KRAS,Cyclin D1,1
KRAS,ERBB3,1
KRAS,MEK2,3
KRAS,ErbB2,1
KRAS,RET,1
KRAS,FGFR 1,1
KRAS,HER3,1
KRAS,MEK,4
KRAS,EGFR,4
KRAS,ErbB 4,1
KRAS,Ost,1
KRAS,AKT1,3
KRAS,ErbB,1
KRAS,Smit,2
KRAS,epidermal growth factor receptor,2
KRAS,AKT,4
KRAS,GTPase KRAS,1
KRAS,mTOR,4
KRAS,HER2,3
KRAS,PIK3CA,2
KRAS,ALK,3
KRAS,PIK3,1
KRAS,PTEN,1
KRAS,MEK1,4
KRAS,AKT2,1
KRAS,DDR2,1
KRAS,PI3K,4
KRAS,NRAS,4
KRAS,RAF,3
EML 4,BRAF,1
EML 4,KIF5B,1
EML 4,EGFR,1
EML 4,AKT1,1
EML 4,ALK,1
p110,RET,1
p110,AKT,1
p110,PIK3CA,1
p110,PI3K,1
p110,NRAS,1
CTLA4,BRAF,1
CTLA4,MAP2K1,1
CTLA4,interleukin 2,1
CTLA4,MEK2,1
CTLA4,MEK,1
CTLA4,AKT,1
CTLA4,mTOR,1
CTLA4,MEK1,1
CTLA4,PI3K,1
CTLA4,NRAS,1
CTLA4,RAF,1
Akt,BRAF,2
Akt,erbB,1
Akt,Ding,1
Akt,He B,1
Akt,akt,1
Akt,MEK,1
Akt,EGFR,2
Akt,Ost,1
Akt,AKT1,2
Akt,Smit,1
Akt,epidermal growth factor receptor,1
Akt,AKT,2
Akt,mTOR,1
Akt,ALK,1
Akt,MEK1,1
Akt,AKT2,2
Akt,PI3K,2
Akt,AKT3,1
Akt,RAF,1
IP1,NKTR,1
IP1,EGFR,1
IP1,AKT1,1
IP1,AKT,1
IP1,HSP90,1
BRAF,MAP2K1,1
BRAF,BCL2,1
BRAF,erbB,2
BRAF,interleukin 2,1
BRAF,Ding,1
BRAF,ErbB4,1
BRAF,He B,1
BRAF,akt,1
BRAF,KIF5B,1
BRAF,ERBB2,2
BRAF,Cyclin D1,1
BRAF,ERBB3,2
BRAF,MEK2,2
BRAF,ErbB2,1
BRAF,RET,1
BRAF,FGFR 1,1
BRAF,HER3,2
BRAF,MEK,5
BRAF,EGFR,6
BRAF,ErbB 4,1
BRAF,Ost,1
BRAF,AKT1,4
BRAF,ALK1,1
BRAF,ErbB,1
BRAF,Smit,1
BRAF,epidermal growth factor receptor,2
BRAF,AKT,6
BRAF,GTPase KRAS,1
BRAF,mTOR,5
BRAF,HER2,3
BRAF,PIK3CA,1
BRAF,ALK,3
BRAF,ERBB,1
BRAF,PIK3,1
BRAF,PTEN,1
BRAF,MEK1,4
BRAF,AKT2,2
BRAF,DDR2,1
BRAF,PI3K,6
BRAF,NRAS,3
BRAF,AKT3,1
BRAF,RAF,5
MAP2K1,interleukin 2,1
MAP2K1,ERBB2,1
MAP2K1,MEK2,2
MAP2K1,MEK,2
MAP2K1,Smit,1
MAP2K1,AKT,1
MAP2K1,mTOR,1
MAP2K1,HER2,1
MAP2K1,PIK3CA,1
MAP2K1,MEK1,2
MAP2K1,PI3K,1
MAP2K1,NRAS,2
MAP2K1,RAF,1
BCL2,erbB,1
BCL2,ErbB4,1
BCL2,ERBB2,1
BCL2,Cyclin D1,1
BCL2,ERBB3,1
BCL2,ErbB2,1
BCL2,RET,1
BCL2,FGFR 1,1
BCL2,HER3,1
BCL2,MEK,1
BCL2,EGFR,1
BCL2,ErbB 4,1
BCL2,AKT1,1
BCL2,ErbB,1
BCL2,epidermal growth factor receptor,1
BCL2,AKT,1
BCL2,mTOR,1
