gene_name_1,gene_name_2,co_occurrence
Insulin like Growth Factor 1,p90rsk,1
Insulin like Growth Factor 1,PKC,1
Insulin like Growth Factor 1,Amphiregulin,1
Insulin like Growth Factor 1,Bax,1
Insulin like Growth Factor 1,Bad,1
Insulin like Growth Factor 1,IGF1,1
Caspase 3,Rsk1,1
Caspase 3,ERK1,1
Caspase 3,p90rsk,1
Caspase 3,MAPK 1,1
Caspase 3,NaF 1,1
Caspase 3,HSP70,1
Caspase 3,Tek,1
Caspase 3,MAPKAP K1a,1
Caspase 3,PKC,1
Caspase 3,Rsk,1
Caspase 3,Rsk2,1
Caspase 3,p44,1
Caspase 3,p42,1
Caspase 3,Rad,1
Caspase 3,Bad,1
Caspase 3,caspase 3,1
Caspase 3,IGF1,1
Rsk1,ERK1,1
Rsk1,p90rsk,1
Rsk1,MAPK 1,1
Rsk1,NaF 1,1
Rsk1,HSP70,1
Rsk1,Tek,1
Rsk1,MAPKAP K1a,1
Rsk1,PKC,1
Rsk1,Rsk,1
Rsk1,Rsk2,1
Rsk1,p44,1
Rsk1,p42,1
Rsk1,Rad,1
Rsk1,Bad,1
Rsk1,caspase 3,1
Rsk1,IGF1,1
ERK1,p90rsk,2
ERK1,MAPK 1,1
ERK1,NaF 1,1
ERK1,HSP70,1
ERK1,Tek,1
ERK1,MAPKAP K1a,1
ERK1,PKC,2
ERK1,Rsk,1
ERK1,EGF,1
ERK1,Rsk2,1
ERK1,p44,1
ERK1,p42,1
ERK1,Raf 1,1
ERK1,CalC 1,1
ERK1,Bax,1
ERK1,Rad,1
ERK1,Bad,2
ERK1,PI3K,1
ERK1,caspase 3,1
ERK1,IGF1,2
PKC B,p90rsk,1
PKC B,HSP70,1
PKC B,CalC,1
PKC B,PKC,2
PKC B,Rsk,1
PKC B,p44,1
PKC B,AR 1,1
PKC B,p42,1
PKC B,Bax,2
PKC B,PKC A,1
PKC B,Bad,1
PKC B,PI3K,1
PKC B,IGF1,2
Akt,p90rsk,1
Akt,PKC,3
Akt,BclXL,1
Akt,Rsk,2
Akt,EGF,3
Akt,Rsk2,2
Akt,ERK,2
Akt,Tel,1
Akt,ErbB 2,1
Akt,Raf,1
Akt,HER2,1
Akt,Bax,3
Akt,Bad,3
Akt,PI3K,3
Akt,amphiregulin,1
Akt,IGF1,3
p90rsk,MAPK 1,1
p90rsk,NaF 1,1
p90rsk,HSP70,1
p90rsk,Tek,1
p90rsk,CalC,1
p90rsk,PKC 2,1
p90rsk,MAPKAP K1a,1
p90rsk,PKC,8
p90rsk,Rsk,4
p90rsk,Amphiregulin,1
p90rsk,EGF,2
p90rsk,Rsk2,3
p90rsk,p44,2
p90rsk,p44 MAPK,1
p90rsk,AR 1,1
p90rsk,p38,1
p90rsk,p42,2
p90rsk,Raf 1,1
p90rsk,CalC 1,1
p90rsk,p90,1
p90rsk,PKC PKC PKC PKC and PKC,1
p90rsk,Bax,7
p90rsk,Rad,1
p90rsk,Bad,7
p90rsk,PI3K,5
p90rsk,caspase 3,1
p90rsk,PKC novel PKC PKC and PKC,1
p90rsk,IGF1,8
MAPK 1,NaF 1,1
MAPK 1,HSP70,1
MAPK 1,Tek,1
MAPK 1,MAPKAP K1a,1
MAPK 1,PKC,1
MAPK 1,Rsk,1
MAPK 1,Rsk2,1
MAPK 1,p44,1
MAPK 1,p42,1
MAPK 1,Rad,1
MAPK 1,Bad,1
MAPK 1,caspase 3,1
MAPK 1,IGF1,1
NaF 1,HSP70,1
NaF 1,Tek,1
NaF 1,MAPKAP K1a,1
NaF 1,PKC,1
NaF 1,Rsk,1
NaF 1,Rsk2,1
NaF 1,p44,1
NaF 1,p42,1
NaF 1,Rad,1
NaF 1,Bad,1
NaF 1,caspase 3,1
NaF 1,IGF1,1
HSP70,Tek,1
HSP70,CalC,1
HSP70,MAPKAP K1a,1
HSP70,PKC,2
HSP70,Rsk,1
HSP70,Rsk2,1
HSP70,p44,2
HSP70,AR 1,1
HSP70,p42,2
HSP70,Bax,1
HSP70,PKC A,1
HSP70,Rad,1
HSP70,Bad,2
HSP70,caspase 3,1
HSP70,IGF1,2
Tek,MAPKAP K1a,1
Tek,PKC,1
Tek,Rsk,1
Tek,Rsk2,1
