gene_name_1,gene_name_2,co_occurrence
CREB,c Raf,1
CREB,ERK1,1
CREB,Sirt1,1
CREB,Bak,1
CREB,EPAC,1
CREB,cAMP,2
CREB,Erk,1
CREB,NaF 1,1
CREB,Sirt6,1
CREB,hak,1
CREB,SIRT6,2
CREB,ERKs,1
CREB,MDM2,2
CREB,AP 1,1
CREB,Iduna,2
CREB,GAPDH,1
CREB,ATM,2
CREB,ERK2,1
CREB,ERK,2
CREB,COX 2,1
CREB,Tel,1
CREB,Hif1,1
CREB,sirt6,1
CREB,MEK,1
CREB,BAK,1
CREB,Raf,2
CREB,sirtuin 6,1
CREB,AKT1,1
CREB,annexin V,1
CREB,GATA3,2
CREB,Raf 1,2
CREB,SIRT1,2
CREB,MAPK,2
CREB,HDAC4,2
CREB,atrogin 1,1
CREB,SIRT7,1
CREB,Sirtuin 6,2
CREB,syn,1
CREB,Skp2,1
CREB,NEDD4L,2
CREB,MEK1,1
CREB,HDAC6,1
CREB,SEMA5A,1
CREB,SirT6,1
CREB,Proc,1
CREB,PARP,1
CREB,SCF,1
CREB,ITCH,1
CREB,Mdm2,1
CREB,caspase 3,1
CREB,iduna,1
CREB,Mek,1
c Raf,ERK1,1
c Raf,EPAC,1
c Raf,cAMP,2
c Raf,NaF 1,1
c Raf,hak,1
c Raf,SIRT6,2
c Raf,ERKs,2
c Raf,MDM2,1
c Raf,Iduna,1
c Raf,GAPDH,1
c Raf,ATM,1
c Raf,ERK2,1
c Raf,ERK,2
c Raf,Tel,1
c Raf,MEK,2
c Raf,Raf,2
c Raf,sirtuin 6,2
c Raf,annexin V,1
c Raf,GATA3,1
c Raf,Raf 1,1
c Raf,SIRT1,1
c Raf,MAPK,1
c Raf,HDAC4,1
c Raf,Jun,1
c Raf,atrogin 1,1
c Raf,SIRT7,1
c Raf,Sirtuin 6,2
c Raf,syn,1
c Raf,Skp2,1
c Raf,NEDD4L,1
c Raf,MEK1,1
c Raf,HDAC6,1
c Raf,PARP,1
c Raf,SCF,1
c Raf,ITCH,1
c Raf,Mdm2,1
c Raf,caspase 3,1
c Raf,iduna,1
ERK1,EPAC,1
ERK1,cAMP,1
ERK1,NaF 1,1
ERK1,hak,1
ERK1,SIRT6,1
ERK1,ERKs,1
ERK1,MDM2,1
ERK1,Iduna,1
ERK1,GAPDH,1
ERK1,ATM,1
ERK1,ERK2,1
ERK1,ERK,1
ERK1,Tel,1
ERK1,MEK,1
ERK1,Raf,1
ERK1,sirtuin 6,1
ERK1,annexin V,1
ERK1,GATA3,1
ERK1,Raf 1,1
ERK1,SIRT1,1
ERK1,MAPK,1
ERK1,HDAC4,1
ERK1,atrogin 1,1
ERK1,SIRT7,1
ERK1,Sirtuin 6,1
ERK1,syn,1
ERK1,Skp2,1
ERK1,NEDD4L,1
ERK1,MEK1,1
