gene_name_1,gene_name_2,co_occurrence
Qin,HMGA2,1
Qin,E2F1,1
Qin,Akt,1
Qin,MiR,1
Qin,MiR 26a,1
Qin,miR 141,1
Qin,KEAP1,1
Qin,COX 2,1
Qin,miR 15b,1
Qin,MTDH,1
Qin,Lin28,1
Qin,P19,1
Qin,Bcl2,1
Qin,miR 26a,1
Qin,AKT,1
Qin,BMI1,1
Qin,Myc,1
Qin,Eda,1
Qin,mTOR,1
Qin,Dor,1
Qin,PIK3CA,1
Qin,RUNX3,1
Qin,nar,1
Qin,PI3K,1
Qin,MiR 200b,1
Qin,EZH2,1
HMGA2,E2F1,4
HMGA2,HMGA2 1 500 E2F1,1
HMGA2,cyclin D1,1
HMGA2,Akt,4
HMGA2,pRB,1
HMGA2,MiR,1
HMGA2,MiR 26a,3
HMGA2,miR 141,2
HMGA2,KEAP1,2
HMGA2,Akt 1,1
HMGA2,MDM2,1
HMGA2,GAPDH,4
HMGA2,Cyclin D1,1
HMGA2,EMT,1
HMGA2,HDAC1,1
HMGA2,COX 2,1
HMGA2,miR 15b,2
HMGA2,MTDH,1
HMGA2,Lin28,1
HMGA2,P19,1
HMGA2,miR 200b,1
HMGA2,Bcl2,5
HMGA2,miR 26a,8
HMGA2,miR 106a,1
HMGA2,AKT,1
HMGA2,BMI1,2
HMGA2,Myc,1
HMGA2,Eda,1
HMGA2,mTOR,1
HMGA2,Dor,1
HMGA2,PIK3CA,1
HMGA2,Cdk4,1
HMGA2,mTORC1,1
HMGA2,GSK 3b,1
HMGA2,RUNX3,2
HMGA2,sur,2
HMGA2,miR,2
HMGA2,p53,1
HMGA2,nar,1
HMGA2,HMGA 2,2
HMGA2,PI3K,1
HMGA2,MiR 200b,1
HMGA2,EZH2,2
insulin,E2F1,1
insulin,cyclin D1,1
insulin,Akt,1
insulin,BCL2,1
insulin,MDM2,1
insulin,mTORC1,1
insulin,PCAF,1
insulin,HER 2 neu,1
insulin,p53,1
insulin,nar,1
insulin,E2F 1,1
E2F1,cyclin D1,2
E2F1,Akt,5
E2F1,pRB,1
E2F1,MiR,1
E2F1,MiR 26a,2
E2F1,miR 141,2
E2F1,KEAP1,2
E2F1,BCL2,1
E2F1,MDM2,2
E2F1,GAPDH,1
E2F1,Cyclin D1,1
E2F1,EMT,1
E2F1,HDAC1,1
E2F1,COX 2,1
E2F1,miR 15b,2
E2F1,MTDH,1
E2F1,Lin28,1
E2F1,P19,1
E2F1,miR 200b,1
E2F1,Bcl2,4
E2F1,miR 26a,4
E2F1,miR 106a,1
E2F1,AKT,1
E2F1,BMI1,2
E2F1,Myc,1
E2F1,Eda,1
E2F1,mTOR,1
E2F1,Dor,1
E2F1,PIK3CA,1
E2F1,Cdk4,1
E2F1,mTORC1,2
E2F1,PCAF,1
E2F1,GSK 3b,1
E2F1,RUNX3,2
E2F1,sur,1
E2F1,HER 2 neu,1
E2F1,p53,2
E2F1,nar,2
E2F1,HMGA 2,1
E2F1,PI3K,1
E2F1,MiR 200b,1
E2F1,EZH2,2
E2F1,E2F 1,1
HMGA2 1 500 E2F1,Akt 1,1
HMGA2 1 500 E2F1,GAPDH,1
HMGA2 1 500 E2F1,miR 26a,1
cyclin D1,Akt,2
cyclin D1,pRB,1
cyclin D1,BCL2,1
cyclin D1,MDM2,2
cyclin D1,Cyclin D1,1
cyclin D1,HDAC1,1
cyclin D1,Bcl2,1
cyclin D1,miR 26a,1
cyclin D1,Cdk4,1
cyclin D1,mTORC1,2
cyclin D1,PCAF,1
cyclin D1,GSK 3b,1
cyclin D1,HER 2 neu,1
cyclin D1,p53,2
cyclin D1,nar,1
cyclin D1,EZH2,1
cyclin D1,E2F 1,1
Akt,pRB,1
Akt,MiR,1
Akt,MiR 26a,2
Akt,miR 141,2
Akt,KEAP1,2
Akt,BCL2,1
Akt,MDM2,2
