gene_name_1,gene_name_2,co_occurrence
eomesodermin,bet,2
eomesodermin,CD8,1
Gzmb,CD40L,1
Gzmb,CD3 g,1
Gzmb,Eomes,1
Gzmb,IL 2,1
Gzmb,IFNG,1
Gzmb,pMel,1
Gzmb,IL 10,1
Gzmb,EL4,1
Gzmb,MYC,1
Gzmb,COR,1
Gzmb,bet,1
Gzmb,CD8,1
Gzmb,Ifng,1
Gzmb,cMYC,1
Gzmb,EOMES,1
Gzmb,Prdm1,1
Gzmb,NOTCH1,1
Gzmb,IL 1,1
Gzmb,miR 23a,1
Gzmb,cMyc,1
Gzmb,Thy1 1 pMel 1,1
Gzmb,PGK,1
Gzmb,IL 6,1
Gzmb,PRDM1,1
Gzmb,CD28,1
Gzmb,PD 1,1
Gzmb,APCs,1
Gzmb,Myc,1
Gzmb,Granzyme B,1
Gzmb,IFN,1
Gzmb,Tbet,1
Gzmb,GM CSF,1
Gzmb,CD3,1
Gzmb,RPLP0,1
Gzmb,Mad1,1
Gzmb,Mad4,1
Gzmb,IFN B,1
Gzmb,TNF,1
Gzmb,RNY3,1
Gzmb,tor,1
Gzmb,RPL13A,1
Gzmb,granzyme B,1
Gzmb,BLIMP 1,1
CD40L,CD3 g,1
CD40L,Eomes,1
CD40L,IL 2,1
CD40L,IFNG,1
CD40L,pMel,1
CD40L,IL 10,1
CD40L,EL4,1
CD40L,MYC,1
CD40L,COR,1
CD40L,bet,1
CD40L,CD8,1
CD40L,Ifng,1
CD40L,cMYC,1
CD40L,EOMES,1
CD40L,Prdm1,1
CD40L,NOTCH1,1
CD40L,IL 1,1
CD40L,miR 23a,1
CD40L,cMyc,1
CD40L,Thy1 1 pMel 1,1
CD40L,PGK,1
CD40L,IL 6,1
CD40L,PRDM1,1
CD40L,CD28,1
CD40L,PD 1,1
CD40L,APCs,1
CD40L,Myc,1
CD40L,Granzyme B,1
CD40L,IFN,1
CD40L,Tbet,1
CD40L,GM CSF,1
CD40L,CD3,1
CD40L,RPLP0,1
CD40L,Mad1,1
CD40L,Mad4,1
CD40L,IFN B,1
CD40L,TNF,1
CD40L,RNY3,1
CD40L,tor,1
CD40L,RPL13A,1
CD40L,granzyme B,1
CD40L,BLIMP 1,1
CD4,pRB,1
CD4,BET,1
CD4,CD8,1
CD4,Myc,1
CD4,myc,1
CD4,Proc,1
miR 181a,Nat,1
miR 181a,tor,1
CD3 g,Eomes,1
CD3 g,IL 2,1
CD3 g,IFNG,1
CD3 g,pMel,1
CD3 g,IL 10,1
CD3 g,EL4,1
CD3 g,MYC,1
CD3 g,COR,1
CD3 g,bet,1
CD3 g,CD8,1
CD3 g,Ifng,1
CD3 g,cMYC,1
CD3 g,EOMES,1
CD3 g,Prdm1,1
CD3 g,NOTCH1,1
CD3 g,IL 1,1
CD3 g,miR 23a,1
CD3 g,cMyc,1
CD3 g,Thy1 1 pMel 1,1
CD3 g,PGK,1
CD3 g,IL 6,1
CD3 g,PRDM1,1
CD3 g,CD28,1
CD3 g,PD 1,1
CD3 g,APCs,1
CD3 g,Myc,1
CD3 g,Granzyme B,1
CD3 g,IFN,1
CD3 g,Tbet,1
CD3 g,GM CSF,1
CD3 g,CD3,1
CD3 g,RPLP0,1
CD3 g,Mad1,1
CD3 g,Mad4,1
CD3 g,IFN B,1
CD3 g,TNF,1
CD3 g,RNY3,1
CD3 g,tor,1
CD3 g,RPL13A,1
CD3 g,granzyme B,1
CD3 g,BLIMP 1,1
Eomes,IL 2,2
Eomes,IL 21,1
Eomes,IFNG,1
Eomes,pMel,2
Eomes,IL 10,1
Eomes,EL4,1
Eomes,MYC,1
Eomes,COR,1
Eomes,Gls,1
Eomes,bet,2
Eomes,CD8,2
Eomes,GLS,1
Eomes,Ifng,1
Eomes,cMYC,2
Eomes,EOMES,2
Eomes,Prdm1,2
Eomes,NOTCH1,1
Eomes,IL 1,1
Eomes,miR 23a,2
Eomes,cMyc,1
Eomes,Thy1 1 pMel 1,2
Eomes,PGK,2
Eomes,IL 6,1
Eomes,PRDM1,1
Eomes,CD28,2
Eomes,PD 1,1
Eomes,APCs,1
Eomes,Myc,1
Eomes,Granzyme B,1
Eomes,IFN,2
Eomes,Tbet,2
Eomes,GM CSF,1
Eomes,CD3,2
Eomes,RPLP0,1
Eomes,miR,1
Eomes,Mad1,1
Eomes,Mad4,1
Eomes,IL 15,1
Eomes,IFN B,1
Eomes,TNF,1
Eomes,RNY3,1
Eomes,tor,2
Eomes,RPL13A,1
Eomes,miR 23b,1
Eomes,granzyme B,2
Eomes,BLIMP 1,2
pRB,BET,1
pRB,Myc,1
pRB,myc,1
pRB,Proc,1
B7 H1,Nat,1
IL 2,IL 21,1
IL 2,IFNG,1
IL 2,pMel,2
IL 2,IL 10,1
IL 2,EL4,1
IL 2,MYC,1
IL 2,COR,1
IL 2,Gls,1
IL 2,bet,2
IL 2,CD8,2
IL 2,GLS,1
IL 2,Ifng,1
IL 2,cMYC,2
IL 2,EOMES,2
IL 2,Prdm1,2
IL 2,NOTCH1,1
IL 2,IL 1,1
IL 2,miR 23a,2
IL 2,cMyc,1
IL 2,Thy1 1 pMel 1,2
IL 2,PGK,2
IL 2,IL 6,1
IL 2,PRDM1,1
IL 2,CD28,2
IL 2,PD 1,1
IL 2,APCs,1
IL 2,Myc,1
IL 2,Granzyme B,1
IL 2,IFN,2
IL 2,Tbet,2
IL 2,GM CSF,1
IL 2,CD3,2
IL 2,RPLP0,1
IL 2,miR,1
IL 2,Mad1,1
IL 2,Mad4,1
IL 2,IL 15,1
IL 2,IFN B,1
IL 2,TNF,1
IL 2,RNY3,1
IL 2,tor,2
IL 2,RPL13A,1
IL 2,miR 23b,1
IL 2,granzyme B,2
IL 2,BLIMP 1,2
IL 21,pMel,1
IL 21,Gls,1
IL 21,bet,1
IL 21,CD8,3
IL 21,GLS,1
IL 21,cMYC,1
IL 21,EOMES,1
IL 21,Prdm1,1
IL 21,miR 23a,1
IL 21,Thy1 1 pMel 1,1
IL 21,PGK,1
IL 21,CD28,1
IL 21,IFN,1
IL 21,Tbet,1
IL 21,CD3,1
IL 21,miR,1
IL 21,IL 15,2
IL 21,tor,1
IL 21,miR 23b,1
IL 21,granzyme B,1
IL 21,BLIMP 1,1
IFNG,pMel,1
IFNG,IL 10,1
IFNG,EL4,1
IFNG,MYC,1
IFNG,COR,1
IFNG,bet,1
IFNG,CD8,1
IFNG,Ifng,1
IFNG,cMYC,1
IFNG,EOMES,1
IFNG,Prdm1,1
IFNG,NOTCH1,1
IFNG,IL 1,1
IFNG,miR 23a,1
IFNG,cMyc,1
IFNG,Thy1 1 pMel 1,1
IFNG,PGK,1
IFNG,IL 6,1
IFNG,PRDM1,1
IFNG,CD28,1
IFNG,PD 1,1
IFNG,APCs,1
IFNG,Myc,1
IFNG,Granzyme B,1
IFNG,IFN,1
IFNG,Tbet,1
IFNG,GM CSF,1
IFNG,CD3,1
IFNG,RPLP0,1
IFNG,Mad1,1
IFNG,Mad4,1
IFNG,IFN B,1
IFNG,TNF,1
IFNG,RNY3,1
IFNG,tor,1
IFNG,RPL13A,1
IFNG,granzyme B,1
IFNG,BLIMP 1,1
pMel,IL 10,1
pMel,EL4,1
pMel,MYC,1
pMel,COR,1
pMel,Gls,1
pMel,bet,2
pMel,CD8,2
pMel,GLS,1
pMel,Ifng,1
pMel,cMYC,2
pMel,EOMES,2
pMel,Prdm1,2
pMel,NOTCH1,1
pMel,IL 1,1
pMel,miR 23a,2
pMel,cMyc,1
pMel,Thy1 1 pMel 1,2
pMel,PGK,2
pMel,IL 6,1
pMel,PRDM1,1
pMel,CD28,2
pMel,PD 1,1
pMel,APCs,1
pMel,Myc,1
pMel,Granzyme B,1
pMel,IFN,2
pMel,Tbet,2
pMel,GM CSF,1
pMel,CD3,2
pMel,RPLP0,1
pMel,miR,1
pMel,Mad1,1
pMel,Mad4,1
pMel,IL 15,1
pMel,IFN B,1
pMel,TNF,1
