gene_name_1,gene_name_2,co_occurrence
EML4,ROS1,1
EML4,KRAS,1
EML4,CCR 11,1
EML4,eRK,1
EML4,c met,1
EML4,CCR 10,1
EML4,eML4,2
EML4,har,2
EML4,c Met,1
EML4,ALK 5,1
EML4,anaplastic lymphoma kinase,2
EML4,TTF 1 Fig 2D,1
EML4,EGFR,2
EML4,Anaplastic lymphoma kinase,1
EML4,AKT,1
EML4,ALK 3,1
EML4,Rha,1
EML4,eGFR,1
EML4,ALK,2
EML4,TTF 1,1
EML4,echinoderm microtubule associated protein like 4,1
EML4,Vill,1
EML4,RAF,1
ROS1,eML4,1
ROS1,har,1
ROS1,c Met,1
ROS1,ALK 5,1
ROS1,anaplastic lymphoma kinase,1
ROS1,EGFR,1
ROS1,ALK 3,1
ROS1,ALK,1
ROS1,echinoderm microtubule associated protein like 4,1
KRAS,CCR 11,1
KRAS,eRK,1
KRAS,c met,1
KRAS,CCR 10,1
KRAS,eML4,1
KRAS,har,1
KRAS,anaplastic lymphoma kinase,1
KRAS,TTF 1 Fig 2D,1
KRAS,EGFR,1
KRAS,Anaplastic lymphoma kinase,1
KRAS,AKT,1
KRAS,Rha,1
KRAS,eGFR,1
KRAS,ALK,1
KRAS,TTF 1,1
KRAS,Vill,1
KRAS,RAF,1
CCR 11,eRK,1
CCR 11,c met,1
CCR 11,CCR 10,1
CCR 11,eML4,1
CCR 11,har,1
CCR 11,anaplastic lymphoma kinase,1
CCR 11,TTF 1 Fig 2D,1
CCR 11,EGFR,1
CCR 11,Anaplastic lymphoma kinase,1
CCR 11,AKT,1
CCR 11,Rha,1
CCR 11,eGFR,1
CCR 11,ALK,1
CCR 11,TTF 1,1
CCR 11,Vill,1
CCR 11,RAF,1
eRK,c met,1
eRK,CCR 10,1
eRK,eML4,1
eRK,har,1
eRK,anaplastic lymphoma kinase,1
eRK,TTF 1 Fig 2D,1
eRK,EGFR,1
eRK,Anaplastic lymphoma kinase,1
eRK,AKT,1
eRK,Rha,1
eRK,eGFR,1
eRK,ALK,1
eRK,TTF 1,1
eRK,Vill,1
eRK,RAF,1
c met,CCR 10,1
c met,eML4,1
c met,har,1
c met,anaplastic lymphoma kinase,1
c met,TTF 1 Fig 2D,1
c met,EGFR,1
c met,Anaplastic lymphoma kinase,1
c met,AKT,1
c met,Rha,1
c met,eGFR,1
c met,ALK,1
c met,TTF 1,1
c met,Vill,1
c met,RAF,1
CCR 10,eML4,1
CCR 10,har,1
CCR 10,anaplastic lymphoma kinase,1
CCR 10,TTF 1 Fig 2D,1
CCR 10,EGFR,1
CCR 10,Anaplastic lymphoma kinase,1
CCR 10,AKT,1
CCR 10,Rha,1
CCR 10,eGFR,1
CCR 10,ALK,1
CCR 10,TTF 1,1
CCR 10,Vill,1
CCR 10,RAF,1
eML4,har,2
