gene_name_1,gene_name_2,co_occurrence
CREB,BclXL,1
CREB,EGFR,1
CREB,Raf,1
CREB,beta2,1
CREB,Bcl2,1
COX,cyclin D1,1
COX,interleukin 8,1
COX,ikappabalpha,1
COX,NF kappaB,1
COX,epidermal growth factor receptor,1
COX,IkappaBalpha,1
COX,Proc,1
fibronectin,nAChR,2
fibronectin,cyclin D1,2
fibronectin,Akt,1
fibronectin,JNK,1
fibronectin,alpha7 nicotinic acetylcholine receptor,1
fibronectin,akt,1
fibronectin,p21,1
fibronectin,COX 2,1
fibronectin,contactin1,1
fibronectin,COX2,1
fibronectin,XIAP,1
fibronectin,Src,1
fibronectin,Raf,2
fibronectin,bcl2,2
fibronectin,Bcl2,2
fibronectin,p38,1
fibronectin,IL 8,1
fibronectin,FasL,1
fibronectin,cIAP2,1
fibronectin,alpha7,1
fibronectin,Bax,1
fibronectin,Bad,2
fibronectin,p50,1
fibronectin,p53,1
fibronectin,PI3K,1
fibronectin,p60,1
fibronectin,Rev,1
fibronectin,caspase 3,1
nAChR,cyclin D1,3
nAChR,Akt,1
nAChR,JNK,1
nAChR,cdk4,1
nAChR,Raf1,2
nAChR,Cyclin D1,1
nAChR,p21,1
nAChR,COX 2,1
nAChR,contactin1,1
nAChR,COX2,1
nAChR,cdc6,1
nAChR,XIAP,1
nAChR,Src,2
nAChR,Raf,2
nAChR,bcl2,2
nAChR,Bcl2,1
nAChR,p38,1
nAChR,IL 8,1
nAChR,FasL,1
nAChR,cIAP2,1
nAChR,cdc25A,1
nAChR,Bax,1
nAChR,Bad,1
nAChR,p50,1
nAChR,p53,1
nAChR,PI3K,1
nAChR,p60,1
nAChR,caspase 3,1
cyclin D1,Akt,2
cyclin D1,JNK,2
cyclin D1,cdk4,1
cyclin D1,interleukin 8,1
cyclin D1,Raf1,1
cyclin D1,Cyclin D1,2
cyclin D1,p21,1
cyclin D1,COX 2,1
cyclin D1,contactin1,1
cyclin D1,COX2,1
cyclin D1,cdc6,1
cyclin D1,ikappabalpha,1
cyclin D1,XIAP,2
cyclin D1,NF kappaB,1
cyclin D1,Src,3
cyclin D1,Raf,1
cyclin D1,bcl2,2
cyclin D1,Bcl2,2
cyclin D1,p38,2
cyclin D1,IL 8,1
cyclin D1,FasL,1
cyclin D1,epidermal growth factor receptor,1
cyclin D1,AKT,1
cyclin D1,cIAP2,1
cyclin D1,cdc25A,1
cyclin D1,alpha7,2
cyclin D1,bax,1
cyclin D1,nfkappab,1
cyclin D1,Bax,1
cyclin D1,IkappaBalpha,1
cyclin D1,Bad,1
cyclin D1,p50,1
cyclin D1,p53,1
cyclin D1,Proc,2
cyclin D1,PI3K,1
cyclin D1,p60,1
cyclin D1,caspase 3,1
cyclin D1,NFkappaB,1
Akt,JNK,2
Akt,p21,1
Akt,COX 2,1
Akt,COX2,1
Akt,EGFR,3
Akt,XIAP,1
Akt,Src,1
Akt,Raf,1
Akt,bcl2,1
Akt,Bcl2,1
Akt,p38,2
Akt,FasL,1
Akt,AKT,1
Akt,cIAP2,1
Akt,alpha7,1
Akt,bax,1
Akt,nfkappab,1
Akt,Bax,1
Akt,Bad,2
Akt,p50,1
Akt,p53,1
Akt,PI3K,4
Akt,p60,1
Akt,caspase 3,1
Akt,NFkappaB,1
JNK,p21,1
JNK,COX 2,1
JNK,COX2,1
JNK,XIAP,1
JNK,bcl2,1
JNK,Bcl2,1
JNK,p38,2
JNK,FasL,1
JNK,AKT,1
JNK,cIAP2,1
JNK,alpha7,1
JNK,bax,1
JNK,nfkappab,1
JNK,Bax,1
JNK,Bad,1
JNK,p50,1
JNK,p53,1
JNK,PI3K,1
JNK,p60,1
JNK,caspase 3,1
JNK,NFkappaB,1
cdk4,Raf1,1
cdk4,Cyclin D1,1
cdk4,cdc6,1
cdk4,Src,1
cdk4,cdc25A,1
COX and lipoxygenase,COX2,1
COX and lipoxygenase,E2 and leukotriene B4 11,1
alpha7 nicotinic acetylcholine receptor,akt,1
alpha7 nicotinic acetylcholine receptor,Raf,1
alpha7 nicotinic acetylcholine receptor,Bcl2,1
alpha7 nicotinic acetylcholine receptor,alpha7,1
alpha7 nicotinic acetylcholine receptor,Bad,1
alpha7 nicotinic acetylcholine receptor,Rev,1
interleukin 8,ikappabalpha,1
interleukin 8,NF kappaB,1
interleukin 8,epidermal growth factor receptor,1
interleukin 8,IkappaBalpha,1
interleukin 8,Proc,1
Epidermal growth factor receptor,A2,1
Raf1,Cyclin D1,1
Raf1,cdc6,1
Raf1,EGFR,1
Raf1,Src,1
Raf1,extracellular signalregulated kinase 1 2 ERK1 2,1
Raf1,cdc25A,1
akt,Raf,1
akt,Bcl2,1
akt,alpha7,1
akt,Bad,1
akt,Rev,1
BclXL,Bcl2,1
Cyclin D1,cdc6,1
Cyclin D1,XIAP,1
Cyclin D1,Src,2
Cyclin D1,Bcl2,1
Cyclin D1,cdc25A,1
Cyclin D1,alpha7,1
Cyclin D1,Proc,1
p21,COX 2,1
p21,COX2,1
p21,XIAP,1
p21,bcl2,1
p21,Bcl2,1
p21,p38,1
p21,FasL,1
p21,cIAP2,1
p21,Bax,1
p21,Bad,1
p21,p50,1
p21,p53,1
p21,PI3K,1
p21,p60,1
p21,caspase 3,1
