gene_name_1,gene_name_2,co_occurrence
tran,4E BP1,1
tran,mTOR,1
tran,PI3K,1
tran,Akt,1
tran,EGFR,1
tran,SCC,1
tran,S6K,1
tran,mTORC1,1
tran,eIF4,1
tran,TSC1,1
Ma L,Erk,1
Ma L,TSC2,1
p70s6k,PDK1,1
Rheb,4E BP1,2
Rheb,TORC2,1
Rheb,FK506 binding protein 12,1
Rheb,mTOR,4
Rheb,PI3K,2
Rheb,TSC,2
Rheb,Raptor,2
Rheb,Akt,1
Rheb,LST8,1
Rheb,IRS,1
Rheb,LKB1,1
Rheb,mam,1
Rheb,insulin,1
Rheb,rictor,2
Rheb,PDK1,1
Rheb,FKBP12,1
Rheb,eIF4E,2
Rheb,AMPK,2
Rheb,TOR,2
Rheb,mammalian target of rapamycin,2
Rheb,TSC2,1
Rheb,S6K,3
Rheb,mTORC1,3
Rheb,PTEN,3
Rheb,REDD1,1
Rheb,HIF 1,1
Rheb,PDK2,1
Rheb,TSC1,1
Rheb,mTORC2,3
Rheb,MAPK,1
Rheb,raptor,2
Rheb,IGFR,1
Rheb,REDD2,1
ERBB 2,4E BP1,1
ERBB 2,PI3K mTOR PI 103,1
ERBB 2,mTOR,1
ERBB 2,PI3K,1
ERBB 2,ERBB,1
ERBB 2,Akt,1
ERBB 2,EGFR,1
ERBB 2,S6K,1
ERBB 2,PTEN,1
ERBB 2,rapa,1
4E BP1,TORC2,1
4E BP1,FK506 binding protein 12,1
4E BP1,PI3K mTOR PI 103,1
4E BP1,mTOR,16
4E BP1,Mammalian Target of Rapamycin,1
4E BP1,PI3K,5
4E BP1,p S6K,7
4E BP1,TSC,3
4E BP1,Raptor,1
4E BP1,ERBB,1
4E BP1,Akt,10
4E BP1,p27,1
4E BP1,LST8,1
4E BP1,EGFR,6
4E BP1,IRS,2
4E BP1,tor,2
4E BP1,mam,2
4E BP1,insulin,2
4E BP1,rictor,3
4E BP1,PDK1,2
4E BP1,FKBP12,2
4E BP1,eIF4E,5
4E BP1,AMPK,1
